<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GheymatVazniAr,d,20220430,000000,373442,373956,373371,373580,7980913756
GheymatVazniAr,d,20220501,000000,373694,374399,373570,373834,8537668752
GheymatVazniAr,d,20220502,000000,373937,375383,373743,375263,7386824212
GheymatVazniAr,d,20220507,000000,376772,378717,376772,378714,9487717746
GheymatVazniAr,d,20220508,000000,379547,380962,379547,380962,10278054361
GheymatVazniAr,d,20220509,000000,381153,381153,377775,377775,9677324572
GheymatVazniAr,d,20220510,000000,377570,377636,376525,377604,7252299560
GheymatVazniAr,d,20220511,000000,378580,383716,378580,383696,8818944123
GheymatVazniAr,d,20220514,000000,384928,387128,384928,387043,11231791398
GheymatVazniAr,d,20220515,000000,387376,387431,384970,385692,10885973785
GheymatVazniAr,d,20220516,000000,386256,388345,386256,388345,10149260904
GheymatVazniAr,d,20220517,000000,389566,394089,389566,393792,10239284745
GheymatVazniAr,d,20220518,000000,393617,393617,390766,390766,8283034188
GheymatVazniAr,d,20220521,000000,389922,389922,386337,386337,8136921478
GheymatVazniAr,d,20220522,000000,386352,386983,386352,386932,6746575135
GheymatVazniAr,d,20220523,000000,387001,387001,380809,380809,10543975502
GheymatVazniAr,d,20220524,000000,380741,380741,380388,380388,6541464613
GheymatVazniAr,d,20220525,000000,380906,382539,380906,382539,6900377927
GheymatVazniAr,d,20220528,000000,383110,383429,379776,379776,7698784070
GheymatVazniAr,d,20220529,000000,379436,379436,374768,374951,7475288786
GheymatVazniAr,d,20220530,000000,375281,375973,375281,375763,5769766052
GheymatVazniAr,d,20220531,000000,375774,377136,375774,376804,4999291145
GheymatVazniAr,d,20220601,000000,376833,377042,376184,376625,5070512901
GheymatVazniAr,d,20220606,000000,376499,376499,369813,369813,6989831853
GheymatVazniAr,d,20220607,000000,369572,370227,369473,369760,4619106427
GheymatVazniAr,d,20220608,000000,369854,370960,369854,370959,3877701371
GheymatVazniAr,d,20220611,000000,371056,371056,370160,370160,4466051498
GheymatVazniAr,d,20220612,000000,370132,373597,369927,373425,5278552141
GheymatVazniAr,d,20220613,000000,374514,382944,374514,382886,6777175537
GheymatVazniAr,d,20220614,000000,383233,383686,383233,383523,6416281753
GheymatVazniAr,d,20220615,000000,383441,383441,381081,381152,4076349371
GheymatVazniAr,d,20220618,000000,380883,380968,377076,377076,5318098402
GheymatVazniAr,d,20220619,000000,376802,377273,376639,376639,5440094107
GheymatVazniAr,d,20220620,000000,376858,377650,376858,376892,5062572426
GheymatVazniAr,d,20220621,000000,376911,376911,374897,374897,3896453516
GheymatVazniAr,d,20220622,000000,374882,374890,373223,373223,4655983495
GheymatVazniAr,d,20220625,000000,373025,373026,369245,369245,5986084909
GheymatVazniAr,d,20220626,000000,369271,369271,364631,364631,5288360528
GheymatVazniAr,d,20220627,000000,364582,365297,364525,365291,4802279941
GheymatVazniAr,d,20220628,000000,365558,367900,365558,367734,4413926847
GheymatVazniAr,d,20220629,000000,367522,367561,367244,367559,4551644001
GheymatVazniAr,d,20220702,000000,367265,367265,364087,364087,4825995758
GheymatVazniAr,d,20220703,000000,364083,364415,363743,364125,3772143659
GheymatVazniAr,d,20220704,000000,364284,365208,364284,365112,3925114833
GheymatVazniAr,d,20220705,000000,365150,366061,365124,366033,4475755319
GheymatVazniAr,d,20220706,000000,365839,365839,363980,363981,4201565084
GheymatVazniAr,d,20220709,000000,364352,364352,361174,361174,3907349262
GheymatVazniAr,d,20220711,000000,361304,361304,358521,358521,4809428455
GheymatVazniAr,d,20220712,000000,358365,358365,356671,356671,4242447798
GheymatVazniAr,d,20220713,000000,357613,358360,357613,358238,3713115748
GheymatVazniAr,d,20220716,000000,358263,358263,354637,354637,4176485758
