<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
price_usd_nerkhapi,d,20230503,000000,540500,540500,540500,540500
price_usd_nerkhapi,d,20230504,000000,542000,542000,542000,542000
price_usd_nerkhapi,d,20230505,000000,542000,542000,542000,542000
price_usd_nerkhapi,d,20230506,000000,531500,531500,531500,531500
price_usd_nerkhapi,d,20230507,000000,526500,526500,526500,526500
price_usd_nerkhapi,d,20230508,000000,536000,536000,536000,536000
price_usd_nerkhapi,d,20230509,000000,532000,532000,532000,532000
price_usd_nerkhapi,d,20230510,000000,530500,530500,530500,530500
price_usd_nerkhapi,d,20230511,000000,530500,530500,530500,530500
price_usd_nerkhapi,d,20230512,000000,530500,530500,530500,530500
price_usd_nerkhapi,d,20230513,000000,523000,523000,523000,523000
price_usd_nerkhapi,d,20230514,000000,513500,513500,513500,513500
price_usd_nerkhapi,d,20230515,000000,520500,520500,520500,520500
price_usd_nerkhapi,d,20230516,000000,517500,517500,517500,517500
price_usd_nerkhapi,d,20230517,000000,512500,512500,512500,512500
price_usd_nerkhapi,d,20230518,000000,514000,514000,514000,514000
price_usd_nerkhapi,d,20230519,000000,513000,513000,513000,513000
price_usd_nerkhapi,d,20230520,000000,515000,515000,515000,515000
price_usd_nerkhapi,d,20230521,000000,518000,518000,518000,518000
price_usd_nerkhapi,d,20230522,000000,523500,523500,523500,523500
price_usd_nerkhapi,d,20230523,000000,522000,522000,522000,522000
price_usd_nerkhapi,d,20230524,000000,516000,516000,516000,516000
price_usd_nerkhapi,d,20230525,000000,516500,516500,516500,516500
price_usd_nerkhapi,d,20230526,000000,516500,516500,516500,516500
price_usd_nerkhapi,d,20230527,000000,520000,520000,520000,520000
price_usd_nerkhapi,d,20230528,000000,516000,516000,516000,516000
price_usd_nerkhapi,d,20230529,000000,517500,517500,517500,517500
price_usd_nerkhapi,d,20230530,000000,514000,514000,514000,514000
price_usd_nerkhapi,d,20230531,000000,511000,511000,511000,511000
price_usd_nerkhapi,d,20230601,000000,513000,513000,513000,513000
price_usd_nerkhapi,d,20230602,000000,513000,513000,513000,513000
price_usd_nerkhapi,d,20230603,000000,509500,509500,509500,509500
price_usd_nerkhapi,d,20230604,000000,509500,509500,509500,509500
price_usd_nerkhapi,d,20230605,000000,511000,511000,511000,511000
price_usd_nerkhapi,d,20230606,000000,510000,510000,510000,510000
price_usd_nerkhapi,d,20230607,000000,497500,497500,497500,497500
price_usd_nerkhapi,d,20230608,000000,493500,493500,493500,493500
price_usd_nerkhapi,d,20230609,000000,496000,496000,496000,496000
price_usd_nerkhapi,d,20230610,000000,493500,493500,493500,493500
price_usd_nerkhapi,d,20230611,000000,471000,471000,471000,471000
price_usd_nerkhapi,d,20230612,000000,482000,482000,482000,482000
price_usd_nerkhapi,d,20230613,000000,497500,497500,497500,497500
price_usd_nerkhapi,d,20230614,000000,490000,490000,490000,490000
price_usd_nerkhapi,d,20230615,000000,488000,488000,488000,488000
price_usd_nerkhapi,d,20230616,000000,488000,488000,488000,488000
price_usd_nerkhapi,d,20230617,000000,492000,492000,492000,492000
price_usd_nerkhapi,d,20230618,000000,493000,493000,493000,493000
price_usd_nerkhapi,d,20230619,000000,487000,487000,487000,487000
price_usd_nerkhapi,d,20230620,000000,489500,489500,489500,489500
price_usd_nerkhapi,d,20230621,000000,487500,487500,487500,487500
price_usd_nerkhapi,d,20230622,000000,497500,497500,497500,497500
price_usd_nerkhapi,d,20230623,000000,494000,494000,494000,494000
price_usd_nerkhapi,d,20230624,000000,508500,508500,508500,508500
price_usd_nerkhapi,d,20230625,000000,499500,499500,499500,499500
price_usd_nerkhapi,d,20230626,000000,498000,498000,498000,498000
price_usd_nerkhapi,d,20230627,000000,493000,493000,493000,493000
price_usd_nerkhapi,d,20230628,000000,492500,492500,492500,492500
price_usd_nerkhapi,d,20230629,000000,494000,494000,494000,494000
price_usd_nerkhapi,d,20230630,000000,497000,497000,497000,497000
price_usd_nerkhapi,d,20230701,000000,498000,498000,498000,498000
price_usd_nerkhapi,d,20230702,000000,500500,500500,500500,500500
price_usd_nerkhapi,d,20230703,000000,502500,502500,502500,502500
price_usd_nerkhapi,d,20230704,000000,503000,503000,503000,503000
price_usd_nerkhapi,d,20230705,000000,503500,503500,503500,503500
price_usd_nerkhapi,d,20230706,000000,505000,505000,505000,505000
price_usd_nerkhapi,d,20230707,000000,505000,505000,505000,505000
price_usd_nerkhapi,d,20230708,000000,500000,500000,500000,500000
price_usd_nerkhapi,d,20230709,000000,500000,500000,500000,500000
